Name,RAdeg,DEdeg,z,SiIV-BI,SiIV-BIO,SiIV-EW,SiIV-vmin,SiIV-vmax,SiIV-fdeep,CIV-BI,CIV-BIO,CIV-EW,CIV-vmin,CIV-vmax,CIV-fdeep,AlIII-BI,AlIII-BIO,AlIII-EW,AlIII-vmin,AlIII-vmax,AlIII-fdeep,MgII-BI,MgII-BIO,MgII-EW,MgII-vmin,MgII-vmax,MgII-fdeep,SiIV-EmL,CIV-EmL,AlIII-EmL,MgII-EmL,SiIV-BMBB,CIV-BMBB,AlIII-BMBB,MgII-BMBB,CIV4-BWA,SN1700,logF1400,logF2500,ra,dec,mjd,plate,fiberid,Separation
114651.21+471732.5,176.7134,47.292364,3.13,0.0,0.0,0.0,,,,398.3,398.3,-8.5,-4036,-6934,0.6,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,5.3,-27.35,,176.7134,47.292362,53080,1446,318,0.007200000005568831
114704.47+153243.3,176.768629,15.545372,3.08,2363.2,2363.2,-16.5,-7830,-14172,0.73,6815.6,7707.5,-47.2,-1937,-16073,0.73,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,12.7,-27.12,,176.76863,15.545372,53376,1761,574,0.0034683067126434265
114710.35+441232.3,176.793126,44.208998,2.81,0.0,0.0,0.0,,,,41.8,41.8,-2.7,-12089,-14569,0.0,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,0,11.1,-27.11,,176.79313,44.208995,53084,1368,252,0.014939289411130504
114719.24+142737.5,176.830205,14.460438,2.27,0.0,0.0,0.0,,,,0.0,5.5,-5.1,-1220,-3290,0.47,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,5.9,-27.3,-26.97,176.8302,14.460437,53376,1761,150,0.017797660567726827
114722.09+373720.7,176.842056,37.622419,2.2,1394.0,1394.0,-14.2,-5793,-13516,0.38,3599.5,3599.5,-22.1,-7974,-15830,0.62,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,0,,,0,4.3,-27.56,-27.25,176.84206,37.622419,53442,1997,141,0.011405532094993724
114740.34+373439.0,176.918087,37.577503,1.3,,,,,,,,,,,,,0.0,0.0,0.0,,,,514.5,514.5,-11.7,-13072,-17547,0.0,0,0,0,0,,,,0,0,1.3,,-27.26,176.91809,37.577503,53442,1997,143,0.00855931489459472
114745.45+342012.9,176.939388,34.336922,1.52,,,,,,,0.0,116.1,-4.3,-1903,-4457,0.16,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.3,,-27.19,176.93939,34.336922,53491,2097,531,0.0059452918860746435
114747.39+092108.7,176.947459,9.352436,2.18,0.0,0.0,0.0,,,,277.3,277.3,-6.6,-7404,-10439,0.48,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,11.0,-26.95,-26.71,176.94742,9.3524637,52734,1226,152,0.17069173511346025
114756.00-025023.4,176.983336,-2.83984,2.56,0.0,0.0,0.0,,,,0.0,35.7,-8.6,20,-2120,0.94,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,4.8,-27.68,-26.98,176.98332,-2.8398499,52056,329,176,0.06767440940966785
114805.50+043914.7,177.022919,4.654088,1.77,0.0,797.1,-8.0,44,-3959,0.1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,0,0,0,0,,,,0,26.0,-26.56,-26.2,177.02293,4.6540704,52373,839,110,0.07464800991814488
